,Time,Height
0,100.0,0.2835413143020875
1,201.0,0.2835413143020875
2,303.0,0.2835413143020875
3,405.0,0.2835413143020875
4,506.0,0.2835413143020875
5,609.0,0.2835413143020875
6,710.0,0.2835413143020875
7,812.0,0.2835413143020875
8,914.0,0.2835413143020875
9,1015.0,0.2835413143020875
10,1118.0,0.2835413143020875
11,1219.0,0.2835413143020875
12,1321.0,0.2835413143020875
13,1423.0,0.2835413143020875
14,1525.0,0.2835413143020875
15,1627.0,0.2835413143020875
16,1728.0,0.2835413143020875
17,1830.0,0.2835413143020875
18,1932.0,0.2835413143020875
19,2034.0,0.2835413143020875
20,2136.0,0.2835413143020875
21,2238.0,0.1647860945693833
22,2339.0,0.1647860945693833
23,2442.0,0.2835413143020875
24,2543.0,0.2835413143020875
25,2646.0,0.049904514455341165
26,2747.0,0.1647860945693833
27,2848.0,0.2835413143020875
28,2951.0,0.2835413143020875
29,3052.0,0.2835413143020875
30,3154.0,0.2835413143020875
31,3256.0,0.2835413143020875
32,3358.0,0.2835413143020875
33,3460.0,0.2835413143020875
34,3562.0,0.2835413143020875
35,3663.0,0.2835413143020875
36,3766.0,0.2835413143020875
37,3867.0,0.2835413143020875
38,3969.0,0.2835413143020875
39,4071.0,0.2835413143020875
40,4172.0,0.2835413143020875
41,4275.0,0.2835413143020875
42,4376.0,0.2835413143020875
43,4478.0,0.2835413143020875
44,4580.0,0.2835413143020875
45,4682.0,0.2835413143020875
46,4784.0,0.2835413143020875
47,4886.0,0.2835413143020875
48,4987.0,0.2835413143020875
49,5089.0,0.2835413143020875
50,5191.0,0.2835413143020875
51,5293.0,0.2835413143020875
52,5395.0,0.2835413143020875
53,5496.0,0.2835413143020875
54,5599.0,0.2835413143020875
55,5700.0,0.2835413143020875
56,5803.0,0.2835413143020875
57,5904.0,0.2835413143020875
58,6006.0,0.2835413143020875
59,6108.0,0.2835413143020875
60,6209.0,0.2835413143020875
61,6311.0,0.2835413143020875
62,6413.0,0.2835413143020875
63,6515.0,0.2835413143020875
64,6617.0,0.2835413143020875
65,6719.0,0.2835413143020875
66,6820.0,0.2835413143020875
67,6923.0,0.2835413143020875
68,7024.0,0.2835413143020875
69,7127.0,0.2835413143020875
70,7228.0,0.2835413143020875
71,7329.0,0.2835413143020875
72,7432.0,0.2835413143020875
73,7533.0,0.2835413143020875
74,7635.0,0.2835413143020875
75,7737.0,0.2835413143020875
76,7839.0,0.2835413143020875
77,7941.0,0.2835413143020875
78,8043.0,0.2835413143020875
79,8144.0,0.2835413143020875
80,8247.0,0.2835413143020875
81,8348.0,0.2835413143020875
82,8450.0,0.2835413143020875
83,8552.0,0.2835413143020875
84,8653.0,0.2835413143020875
85,8756.0,0.2835413143020875
86,8857.0,0.2835413143020875
87,8960.0,0.2835413143020875
88,9061.0,0.2835413143020875
89,9163.0,0.2835413143020875
90,9265.0,0.2835413143020875
91,9367.0,0.2835413143020875
92,9468.0,0.2835413143020875
93,9570.0,0.40629534748988494
94,9672.0,0.40629534748988494
95,9774.0,0.2835413143020875
96,9876.0,0.2835413143020875
97,9977.0,0.2835413143020875
98,10080.0,0.2835413143020875
99,10181.0,0.2835413143020875
100,10284.0,0.2835413143020875
101,10385.0,0.2835413143020875
102,10487.0,0.2835413143020875
103,10589.0,0.2835413143020875
104,10691.0,0.2835413143020875
105,10792.0,0.2835413143020875
106,10895.0,0.2835413143020875
107,10996.0,0.2835413143020875
108,11099.0,0.2835413143020875
109,11200.0,0.2835413143020875
110,11302.0,0.2835413143020875
111,11404.0,0.2835413143020875
112,11506.0,0.2835413143020875
113,11608.0,0.2835413143020875
114,11710.0,0.2835413143020875
115,11811.0,0.2835413143020875
116,11914.0,0.2835413143020875
117,12015.0,0.2835413143020875
118,12118.0,0.2835413143020875
119,12219.0,0.2835413143020875
120,12321.0,0.2835413143020875
121,12423.0,0.2835413143020875
122,12525.0,0.2835413143020875
123,12626.0,0.2835413143020875
124,12729.0,0.2835413143020875
125,12830.0,0.40629534748988494
126,12933.0,0.40629534748988494
127,13034.0,0.40629534748988494
128,13136.0,0.2835413143020875
129,13238.0,0.40629534748988494
130,13340.0,0.2835413143020875
131,13442.0,0.049904514455341165
132,13544.0,0.40629534748988494
133,13645.0,0.40629534748988494
134,13748.0,0.40629534748988494
135,13849.0,0.40629534748988494
136,13952.0,0.40629534748988494
137,14053.0,0.40629534748988494
138,14155.0,0.40629534748988494
139,14257.0,0.40629534748988494
140,14359.0,0.40629534748988494
141,14460.0,0.40629534748988494
142,14563.0,0.40629534748988494
143,14664.0,0.40629534748988494
144,14767.0,0.40629534748988494
145,14868.0,0.40629534748988494
146,14970.0,0.40629534748988494
147,15072.0,0.40629534748988494
148,15174.0,0.40629534748988494
149,15276.0,0.40629534748988494
150,15378.0,0.40629534748988494
151,15479.0,0.40629534748988494
152,15582.0,0.40629534748988494
153,15683.0,0.40629534748988494
154,15785.0,0.40629534748988494
155,15887.0,0.40629534748988494
156,15989.0,0.40629534748988494
157,16091.0,0.40629534748988494
158,16193.0,0.40629534748988494
159,16294.0,0.40629534748988494
160,16397.0,0.40629534748988494
161,16498.0,0.40629534748988494
162,16601.0,0.40629534748988494
163,16702.0,0.40629534748988494
164,16804.0,0.40629534748988494
165,16906.0,0.40629534748988494
166,17008.0,0.40629534748988494
167,17110.0,0.40629534748988494
168,17212.0,0.5328169469141235
169,17313.0,0.40629534748988494
170,17416.0,0.40629534748988494
171,17517.0,0.40629534748988494
172,17619.0,0.40629534748988494
173,17721.0,0.40629534748988494
174,17823.0,0.5328169469141235
